uuid,id,Name
รหัส,ลำดับ,ยี่ห้อ
,1,TOYOTA
,2,HONDA
,3,ISUZU
,4,NISSAN
,5,MAZDA
,6,MITSUBISHI
,7,FORD
,8,CHEVROLET 
